dataset,wavelet,resample,accuracy,transform_time,train_time,test_time
Car,db2,14.5,0.77,1.293276278,1.452963551,0.079631392
Car,db4,14.5,0.77,0.110123158,1.454064719,0.085556332
Car,haar,14.5,0.810555556,1.230277761,1.497133223,0.080737185
Car,sym4,14.5,0.755,1.339526216,1.457270821,0.07984151
CinCECGTorso,db2,14.5,0.981400966,129.6330416,7.725500687,0.730151796
CinCECGTorso,db4,14.5,0.928381643,4.763347387,7.801955533,0.738740079
CinCECGTorso,haar,14.5,0.974879227,126.1067752,7.697837822,0.734825786
CinCECGTorso,sym4,14.5,0.907584541,130.0263074,7.716624387,0.728637131
ECG5000,db2,14.5,0.932718519,9.195699477,5.989210542,0.370783997
ECG5000,db4,14.5,0.934888889,1.582680225,6.00319496,0.366651654
ECG5000,haar,14.5,0.935177778,8.572312713,6.393619649,0.388154586
ECG5000,sym4,14.5,0.935948148,10.18137685,5.942046324,0.366842802
Earthquakes,db2,14.5,0.751318945,4.140133055,2.092879923,0.09122711
Earthquakes,db4,14.5,0.751079137,0.427848101,2.087335833,0.090136282
Earthquakes,haar,14.5,0.751079137,4.135412288,2.134579698,0.093944629
Earthquakes,sym4,14.5,0.751318945,4.290150627,2.102095668,0.089513493
FordA,db2,14.5,0.881237374,39.47025758,13.51298849,0.258490435
FordA,db4,14.5,0.90260101,4.681672335,13.58658307,0.257246439
FordA,haar,14.5,0.890126263,38.49560055,13.64101761,0.267969871
FordA,sym4,14.5,0.902171717,40.89119082,13.64996281,0.257193494
FordB,db2,14.5,0.877160494,35.77551545,12.91195605,0.188365428
FordB,db4,14.5,0.878065844,4.34819603,12.99542793,0.185666966
FordB,haar,14.5,0.847736626,33.89649967,13.08929926,0.189949918
FordB,sym4,14.5,0.852592593,36.66210808,13.02218373,0.186844349
InlineSkate,db2,14.5,0.252606061,85.43984936,4.854870566,0.342608015
InlineSkate,db4,14.5,0.281515152,2.419346094,4.962739142,0.337578376
InlineSkate,haar,14.5,0.27230303,84.33109276,4.910972126,0.342393676
InlineSkate,sym4,14.5,0.275515152,84.3827551,5.117794045,0.34190019
Mallat,db2,14.5,0.896090974,76.29195837,11.9380389,1.23565468
Mallat,db4,14.5,0.925316276,8.684645653,11.94700371,1.245712709
Mallat,haar,14.5,0.864818763,74.82804932,11.89933035,1.243441884
Mallat,sym4,14.5,0.904648188,79.19828932,11.93097924,1.233564353
MixedShapesRegularTrain,db2,14.5,0.932206186,96.69220049,16.43022448,1.280182886
MixedShapesRegularTrain,db4,14.5,0.92457732,10.33927751,16.33580943,1.274047128
MixedShapesRegularTrain,haar,14.5,0.951037801,92.41514309,16.09472414,1.278377684
MixedShapesRegularTrain,sym4,14.5,0.923079038,10.33927751,16.46576193,1.283867216
NonInvasiveFetalECGThorax1,db2,14.5,0.587888041,64.06006197,27.61725792,1.052895538
NonInvasiveFetalECGThorax1,db4,14.5,0.49302799,13.26137638,27.16850397,1.051792057
NonInvasiveFetalECGThorax1,haar,14.5,0.699643766,61.28674751,27.4981742,1.065830827
NonInvasiveFetalECGThorax1,sym4,14.5,0.598422392,66.47432146,27.70354804,1.070838141
ShapeletSim,db2,14.5,0.514074074,1.644062209,1.473240821,0.103121869
ShapeletSim,db4,14.5,0.545555556,0.188862562,1.496697323,0.105383118
ShapeletSim,haar,14.5,0.522037037,1.611633523,1.479098447,0.102617788
ShapeletSim,sym4,14.5,0.530185185,1.696942798,1.53640631,0.104301405
SmallKitchenAppliances,coif1,14.5,0.753066667,11.98029304,6.525432579,0.253653057
SmallKitchenAppliances,db2,14.5,0.753333333,11.27393006,6.316066496,0.246665939
SmallKitchenAppliances,db4,14.5,0.775644444,2.488528013,6.472974809,0.258558599
SmallKitchenAppliances,haar,14.5,0.753511111,11.11342022,6.457512538,0.248778884
SmallKitchenAppliances,sym4,14.5,0.764533333,11.56877018,6.345881979,0.250993594
SmoothSubspace,db2,14.5,0.728444444,0.313565246,1.280552165,0.077540859
SmoothSubspace,db4,14.5,0.607333333,0.062924385,1.280465714,0.082244023
SmoothSubspace,haar,14.5,0.588444444,0.312630208,1.273266125,0.080388927
SmoothSubspace,sym4,14.5,0.720444444,0.327644491,1.276757805,0.079275751
TwoPatterns,db2,14.5,0.439575,9.431306243,5.510262656,0.317752051
TwoPatterns,db4,14.5,0.4334,1.576035738,5.46331718,0.313663809
TwoPatterns,haar,14.5,0.452075,8.469156512,5.502408107,0.317003894
TwoPatterns,sym4,14.5,0.451791667,10.51343923,5.50498484,0.323604743
Wafer,db2,14.5,0.998053212,14.79513591,8.115284006,0.447112171
Wafer,db4,14.5,0.998161367,2.235396862,7.988491543,0.43990798
Wafer,haar,14.5,0.998621025,13.31105998,8.092231361,0.452700377
Wafer,sym4,14.5,0.998015358,16.6745517,8.146347284,0.454477723
